"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"KDM4A-AS1",0.00127995479851961,3.86753999919165e-05,0.000159101982717402,0.000156166264787316,0.000205792821361683
"ATP6V0B",0.353614896535873,0.66057151556015,1.25245034694672,0.131753578782082,0.504460692405701
"SLC6A9",0.000113714384497143,0.000187794183148071,0.000608677160926163,0.000208925557672046,0.00260603078640997
"C1orf228",0.381975889205933,0,0.267229437828064,0.0232891663908958,0.102608300745487
"KIF2C",0.00053120352094993,0.00288440426811576,0.000531614001374692,0.00476871570572257,0.000914775766432285
"RP11-269F19.2",0.000109231055830605,6.95799026289023e-05,0.00296689663082361,0.000172363856108859,0.00174348836299032
"RPS8",5.48466777801514,4.05109786987305,2.6920063495636,2.5224769115448,4.50744867324829
"BEST4",0.000120451324619353,0.000220514353713952,0.0030289979185909,0.000225569165195338,0.000765335338655859
"PLK3",0.277826994657516,0,0.518905997276306,0.745040535926819,8.19368779048091e-06
"LINC01144",0.00014565177843906,0.000156310008605942,0.000503590563312173,0.000174424130818807,0.000605218694545329
"CCDC163P",0.039982371032238,0.0516556799411774,0.0186171662062407,0,0.020076485350728
"PRDX1",0.621167421340942,0.414885401725769,0.714507102966309,0.410359740257263,0.698650300502777
"RAD54L",0.000180196671863087,0.0236542113125324,0.002254189690575,0.00107876828406006,0.000287297938484699
"MOB3C",0.060205589979887,0.0639278590679169,0.101794987916946,0.00404894584789872,0.0527746453881264
"CYP4B1",5.22815644217189e-05,7.46088262530975e-05,0.000120549273560755,7.32589905965142e-05,0.000268990115728229
"LINC00853",0.000107234562165104,6.88938234816305e-05,0.000427823775680736,0.000219986104639247,0.000314246979542077
"PDZK1IP1",0.0134759387001395,0.000519623514264822,0.0349278450012207,0.00211918726563454,0.0171757973730564
"TAL1",8.28883494250476e-05,6.96961142239161e-05,0.0319093577563763,4.22056218667421e-05,0.000236859588767402
"STIL",0.00497704604640603,0.00303337932564318,0.0219240244477987,0.00101577094756067,0.00293451827019453
"BEND5",0.0486011952161789,4.73852378490847e-05,9.77831150521524e-05,1.35179034259636e-05,0.086238868534565
"RNF11",0.225639879703522,0.133166581392288,0.319234818220139,0.409243196249008,0.124393105506897
"TTC39A",5.7350865972694e-05,2.77509589068359e-05,0.00270422291941941,5.82964457862545e-05,0.0197162888944149
"BTF3L4",0.348548501729965,0.150544419884682,0.355958640575409,0.23231928050518,0.297602087259293
"COA7",0.0280517991632223,0.0160179287195206,0.0941802561283112,0.00218128855340183,0.0506886281073093
"SLC1A7",7.24926280781801e-07,0.0873885825276375,7.99543122411706e-05,1.9406934370636e-06,0.000356920820195228
"RP11-117D22.2",0.000744620047044009,6.13647571299225e-05,0.0398490391671658,1.91256344805879e-06,0.0815785154700279
"SSBP3",0.0606441609561443,0.245410248637199,0.21949827671051,0.0250228326767683,0.0074906307272613
"PLPP3",1.87437235581456e-05,1.52792745211627e-05,0.0613405108451843,0.00603737169876695,0.0104987574741244
"DAB1",0.000673134229145944,0.000321640487527475,0.00023457920178771,0.000786597607657313,0.000329088943544775
"TACSTD2",3.75995368813165e-05,4.37922244600486e-05,0.0508036874234676,2.65764847426908e-05,0.000542866415344179
"JUN",0.928254961967468,1.84869754314423,0.687992751598358,0,1.07653284072876
"L1TD1",8.96211349754594e-05,8.12089638202451e-05,0.0363010875880718,8.7824730144348e-05,0.00507620302960277
"ITGB3BP",0.108239822089672,0.147392898797989,0.107896655797958,0,0.139216437935829
"PGM1",0.113934583961964,0.208925127983093,0.155087292194366,0,0.115770392119884
"ROR1",4.88584119011648e-05,3.14520766551141e-05,9.28918816498481e-05,8.53798919706605e-05,0.0238142944872379
"AK4",8.9473272964824e-05,5.12736150994897e-05,0.0379272140562534,0.000800230773165822,0.000153171175043099
"PDE4B",0.108401335775852,0.0648394450545311,0.349434792995453,1.03354525566101,0.420170336961746
"WDR78",0.00294136791490018,0.000107092644611839,0.000430928950663656,0.0010958684142679,0.00368341687135398
"IL23R",0.000147154001751915,0.013703134842217,9.30968672037125e-05,0.0208861399441957,5.25417162862141e-05
"GADD45A",0.0269753634929657,0.0775867998600006,0.175559431314468,0.135890051722527,0.0342251360416412
"DEPDC1",7.07934814272448e-05,0.000166442710906267,0.00019998695643153,0.000149212719406933,0.000206224780413322
"LRRC40",0.075910672545433,0.0535528473556042,0.0794090032577515,0.101610258221626,0.158447355031967
"CTH",0.0123617937788367,4.42965983893373e-06,0.000285616784822196,0.101639740169048,0.000980318989604712
"PTGER3",7.71519626141526e-05,7.79022302594967e-05,0.000418532988987863,8.01151327323169e-05,0.000276772072538733
"RP3-333A15.1",7.28385712136514e-05,3.89970009564422e-05,0.0141182094812393,0.000280419859336689,0.000141311888000928
"NEGR1",6.39549980405718e-05,3.85364801331889e-05,0.0270887333899736,7.87251337897032e-05,0.0162259638309479
"NEXN-AS1",5.37745654582977e-05,6.24759632046334e-05,0.000429336563684046,7.32424814486876e-05,0.000361273239832371
