,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
TGFBR3,0.051578402519226074,0.6015375852584839,5.2687501010950655e-06,0.14257411658763885,4.865137725573732e-06
KIAA1107,0.0004864967195317149,0.00012402304855640978,0.01151434239000082,0.0006074233679100871,0.00023240517475642264
EVI5,2.6687828722060658e-05,0.0,0.35637083649635315,0.0001692810474196449,0.1014145016670227
FAM69A,0.1224028617143631,0.0559515506029129,7.924756573629566e-06,0.05282493680715561,0.11007088422775269
FNBP1L,0.0006063537439331412,3.5512766771717e-05,0.03490564599633217,0.01938680000603199,0.046633098274469376
BCAR3,1.7988236322707962e-07,0.0,0.08640752732753754,0.033069610595703125,0.07578539103269577
F3,0.0,0.0,0.08669621497392654,0.01676897704601288,2.314859193575103e-05
ALG14,0.03243142366409302,0.03365080803632736,0.06126696616411209,3.223722444545274e-07,0.029391571879386902
TMEM56,0.00023525554570369422,6.57357886666432e-05,0.0002360002399655059,0.0002981310535687953,0.0013021391350775957
RP5-884G6.2,0.0001233472430612892,0.0002826470590662211,0.0014736269367858768,9.87406529020518e-05,0.0013853507116436958
RTCA-AS1,0.012366458773612976,0.00027979855076409876,0.02966196835041046,5.309521657181904e-05,0.0004933382733725011
RTCA,0.19705694913864136,0.23070372641086578,0.2124279886484146,0.07000325620174408,0.09745750576257706
VCAM1,9.273395698983222e-05,0.00047644521691836417,0.00034612140734679997,0.0026012088637799025,0.0004481110954657197
RP4-549L20.3,0.018548065796494484,0.019871238619089127,0.03916822373867035,0.0015073101967573166,0.0002249000535812229
S1PR1,0.7988891005516052,0.3253430724143982,5.053291829426598e-07,0.3049874007701874,0.18184465169906616
NTNG1,6.319712701952085e-05,4.18998024542816e-05,9.720754314912483e-05,9.413016232429072e-05,0.021181970834732056
FAM102B,2.7985930728391395e-07,0.00021786140860058367,0.3234773278236389,0.22680127620697021,6.590346401935676e-06
GPSM2,0.0035669878125190735,0.008955348283052444,0.02794172428548336,0.021169716492295265,0.003267232794314623
PSRC1,0.0009113874984905124,9.680926450528204e-05,0.06360357999801636,2.835879240592476e-05,0.000254730781307444
SORT1,1.1617528627994034e-07,3.2913623726926744e-05,0.3523505628108978,0.0,0.0007263309089466929
AMIGO1,0.02968214824795723,0.00406279880553484,0.00024213183496613055,1.8401378838461824e-05,0.00035103954724036157
AMPD2,0.07017458975315094,0.08256858587265015,0.580493688583374,0.14665108919143677,0.0015277096536010504
